iter	Passed	Remaining
665	2500	1253
666	2502	1249
667	2505	1245
668	2507	1240
669	2510	1236
670	2512	1232
671	2514	1227
672	2517	1223
673	2519	1218
674	2521	1214
675	2523	1209
676	2526	1205
677	2528	1200
678	2530	1196
679	2532	1191
680	2534	1187
681	2536	1182
682	2538	1178
683	2541	1173
684	2543	1169
685	2545	1165
686	2547	1160
687	2549	1156
688	2551	1151
689	2554	1147
690	2556	1143
691	2558	1138
692	2560	1134
693	2563	1130
694	2565	1125
695	2567	1121
696	2569	1116
697	2571	1112
698	2573	1108
699	2575	1103
700	2578	1099
701	2580	1095
702	2582	1091
703	2584	1086
704	2587	1082
705	2589	1078
706	2591	1073
707	2593	1069
708	2595	1065
709	2597	1060
710	2599	1056
711	2601	1052
712	2604	1048
713	2606	1044
714	2609	1039
715	2611	1035
716	2614	1031
717	2616	1027
718	2619	1023
719	2621	1019
720	2623	1015
721	2626	1011
722	2628	1007
723	2631	1003
724	2634	999
725	2636	995
726	2638	990
727	2641	986
728	2643	982
729	2646	978
730	2648	974
731	2651	970
732	2653	966
733	2655	962
734	2658	958
735	2660	954
736	2662	950
737	2664	946
738	2667	942
739	2671	938
740	2674	934
741	2677	930
742	2680	927
743	2682	922
744	2685	919
745	2687	915
746	2689	910
747	2691	906
748	2693	902
749	2696	898
750	2698	894
751	2701	891
752	2709	888
753	2714	885
754	2720	882
755	2727	880
756	2732	877
757	2736	873
758	2741	870
759	2747	867
760	2752	864
761	2756	861
762	2759	857
763	2761	853
764	2764	849
765	2767	845
766	2770	841
767	2774	838
768	2778	834
769	2783	831
770	2786	827
771	2789	823
772	2792	820
773	2796	816
774	2798	812
775	2800	808
776	2803	804
777	2805	800
778	2807	796
779	2809	792
780	2812	788
781	2814	784
782	2816	780
783	2818	776
784	2823	773
785	2826	769
786	2828	765
787	2831	761
788	2833	757
789	2836	753
790	2838	749
791	2840	746
792	2843	742
793	2845	738
794	2847	734
795	2849	730
796	2852	726
797	2854	722
798	2856	718
799	2859	714
800	2861	710
801	2864	707
802	2866	703
803	2869	699
804	2872	695
805	2874	691
806	2876	688
807	2879	684
808	2883	680
809	2885	676
810	2888	673
811	2891	669
812	2894	665
813	2897	662
814	2900	658
815	2903	654
816	2905	650
817	2908	647
818	2911	643
819	2913	639
820	2916	635
821	2918	632
822	2921	628
823	2923	624
824	2926	620
825	2929	617
826	2932	613
827	2934	609
828	2936	605
829	2939	602
830	2942	598
831	2945	594
832	2949	591
833	2952	587
834	2954	583
835	2956	580
836	2959	576
837	2962	572
838	2964	568
839	2967	565
840	2969	561
841	2971	557
842	2976	554
843	2981	551
844	2986	547
845	2989	544
846	2992	540
847	2996	537
848	2998	533
849	3001	529
850	3004	526
851	3008	522
852	3011	519
853	3015	515
854	3018	511
855	3022	508
856	3027	505
857	3030	501
858	3035	498
859	3039	494
860	3042	491
861	3045	487
862	3047	483
863	3050	480
864	3053	476
865	3070	475
866	3076	471
867	3079	468
868	3083	464
869	3087	461
870	3091	457
871	3094	454
872	3097	450
873	3100	447
874	3104	443
875	3107	439
876	3110	436
877	3113	432
878	3116	429
879	3119	425
880	3124	422
881	3128	418
882	3133	415
883	3137	411
884	3140	408
885	3143	404
886	3146	400
887	3150	397
888	3153	393
889	3157	390
890	3159	386
891	3163	382
892	3165	379
893	3168	375
894	3171	372
895	3174	368
896	3176	364
897	3180	361
898	3183	357
899	3187	354
900	3189	350
901	3192	346
902	3194	343
903	3196	339
904	3199	335
905	3201	332
906	3204	328
907	3206	324
908	3209	321
909	3212	317
910	3214	314
911	3217	310
912	3219	306
913	3222	303
914	3224	299
915	3226	295
916	3229	292
917	3231	288
918	3234	285
919	3236	281
920	3239	277
921	3242	274
922	3244	270
923	3246	267
924	3249	263
925	3251	259
926	3253	256
927	3256	252
928	3260	249
929	3263	245
930	3266	242
931	3269	238
932	3271	234
933	3274	231
934	3277	227
935	3279	224
936	3281	220
937	3283	217
938	3286	213
939	3289	209
940	3291	206
941	3293	202
942	3296	199
943	3299	195
944	3301	192
945	3304	188
946	3306	185
947	3309	181
948	3311	177
949	3313	174
950	3316	170
951	3320	167
952	3323	163
953	3329	160
954	3335	157
955	3337	153
956	3340	150
957	3342	146
958	3345	143
959	3348	139
960	3351	136
961	3358	132
962	3362	129
963	3366	125
964	3370	122
965	3374	118
966	3377	115
967	3381	111
968	3384	108
969	3388	104
970	3407	101
971	3423	98
972	3432	95
973	3435	91
974	3438	88
975	3440	84
976	3443	81
977	3446	77
978	3448	73
979	3450	70
980	3453	66
981	3456	63
982	3459	59
983	3462	56
984	3464	52
985	3467	49
986	3469	45
987	3472	42
988	3475	38
989	3477	35
990	3479	31
991	3482	28
992	3484	24
993	3487	21
994	3489	17
995	3492	14
996	3494	10
997	3497	7
998	3499	3
999	3502	0
